tweet_id,favorites,retweets,user_followers,user_favourites,date_time
690938899477221376,3767,1748,9347670,147241,2016-01-23 16:47:25+00:00
690932576555528194,3025,906,9348538,147245,2016-01-23 16:22:17+00:00
690735892932222976,3493,1150,9348538,147245,2016-01-23 03:20:44+00:00
690728923253055490,1998,465,9348538,147245,2016-01-23 02:53:03+00:00
690690673629138944,2146,746,9347670,147241,2016-01-23 00:21:03+00:00
690649993829576704,1200,248,9347670,147241,2016-01-22 21:39:24+00:00
690607260360429569,279,14,9347670,147241,2016-01-22 18:49:36+00:00
690597161306841088,1784,546,9347670,147241,2016-01-22 18:09:28+00:00
690400367696297985,1740,406,9347670,147241,2016-01-22 05:07:29+00:00
690374419777196032,2968,760,9348538,147245,2016-01-22 03:24:22+00:00
690360449368465409,2442,792,9347670,147241,2016-01-22 02:28:52+00:00
690348396616552449,1367,461,9347670,147241,2016-01-22 01:40:58+00:00
690248561355657216,1537,370,9348538,147245,2016-01-21 19:04:15+00:00
690021994562220032,2581,922,9347670,147241,2016-01-21 04:03:58+00:00
690015576308211712,2301,659,9347670,147241,2016-01-21 03:38:27+00:00
690005060500217858,3383,1534,9347670,147241,2016-01-21 02:56:40+00:00
689999384604450816,1304,329,9347671,147241,2016-01-21 02:34:07+00:00
689993469801164801,1349,406,9348539,147245,2016-01-21 02:10:37+00:00
689977555533848577,1264,409,9347671,147241,2016-01-21 01:07:23+00:00
689905486972461056,2256,621,9348539,147245,2016-01-20 20:21:00+00:00
689877686181715968,2799,1042,9348539,147245,2016-01-20 18:30:32+00:00
689835978131935233,2018,688,9347671,147241,2016-01-20 15:44:48+00:00
689661964914655233,2991,850,9348539,147245,2016-01-20 04:13:20+00:00
689659372465688576,9513,3465,9347671,147241,2016-01-20 04:03:02+00:00
689623661272240129,2034,580,9347671,147241,2016-01-20 01:41:08+00:00
689599056876867584,10743,5012,9347672,147241,2016-01-20 00:03:21+00:00
689557536375177216,1894,404,9348540,147245,2016-01-19 21:18:22+00:00
689517482558820352,3120,1294,9348540,147245,2016-01-19 18:39:13+00:00
689289219123089408,2071,846,9347672,147241,2016-01-19 03:32:10+00:00
689283819090870273,3015,1004,9348540,147245,2016-01-19 03:10:43+00:00
689280876073582592,1823,638,9348540,147245,2016-01-19 02:59:01+00:00
689275259254616065,1051,225,9347672,147241,2016-01-19 02:36:42+00:00
689255633275777024,2349,972,9348540,147245,2016-01-19 01:18:43+00:00
689154315265683456,2850,897,9348540,147245,2016-01-18 18:36:07+00:00
689143371370250240,1862,454,9347672,147241,2016-01-18 17:52:38+00:00
688916208532455424,2493,772,9348540,147245,2016-01-18 02:49:58+00:00
688908934925697024,1939,708,9347672,147241,2016-01-18 02:21:04+00:00
688898160958271489,1923,709,9347673,147241,2016-01-18 01:38:15+00:00
688894073864884227,2057,620,9347673,147241,2016-01-18 01:22:00+00:00
688828561667567616,1274,321,9347673,147241,2016-01-17 21:01:41+00:00
688804835492233216,886,170,9347670,147241,2016-01-17 19:27:24+00:00
688789766343622656,2053,603,9347673,147241,2016-01-17 18:27:32+00:00
688547210804498433,2390,626,9347673,147241,2016-01-17 02:23:42+00:00
688519176466644993,2147,656,9348541,147245,2016-01-17 00:32:18+00:00
688385280030670848,8528,4074,9347673,147241,2016-01-16 15:40:14+00:00
688211956440801280,2074,751,9348541,147245,2016-01-16 04:11:31+00:00
688179443353796608,1976,526,9348541,147245,2016-01-16 02:02:19+00:00
688116655151435777,2609,697,9347673,147241,2016-01-15 21:52:49+00:00
688064179421470721,1594,322,9348541,147245,2016-01-15 18:24:18+00:00
687841446767013888,5007,2249,9348541,147245,2016-01-15 03:39:15+00:00
687826841265172480,2518,1009,9347673,147241,2016-01-15 02:41:12+00:00
687818504314159109,2281,862,9347673,147241,2016-01-15 02:08:05+00:00
687807801670897665,2196,657,9347673,147241,2016-01-15 01:25:33+00:00
687732144991551489,1615,594,9348541,147245,2016-01-14 20:24:55+00:00
687704180304273409,2240,763,9348541,147245,2016-01-14 18:33:48+00:00
687664829264453632,1798,469,9347673,147241,2016-01-14 15:57:26+00:00
687494652870668288,1753,527,9348541,147245,2016-01-14 04:41:12+00:00
687480748861947905,1471,221,9348541,147245,2016-01-14 03:45:57+00:00
687476254459715584,1823,481,9348541,147245,2016-01-14 03:28:06+00:00
687460506001633280,1904,491,9348542,147245,2016-01-14 02:25:31+00:00
687399393394311168,1742,551,9348542,147245,2016-01-13 22:22:41+00:00
687317306314240000,18613,8333,9348542,147245,2016-01-13 16:56:30+00:00
687312378585812992,3999,1726,9347674,147241,2016-01-13 16:36:55+00:00
687127927494963200,4967,2049,9348542,147245,2016-01-13 04:23:58+00:00
687124485711986689,2020,461,9348542,147245,2016-01-13 04:10:18+00:00
687109925361856513,5350,2226,9347674,147241,2016-01-13 03:12:26+00:00
687102708889812993,2168,870,9347674,147241,2016-01-13 02:43:46+00:00
687096057537363968,2072,551,9347674,147241,2016-01-13 02:17:20+00:00
686947101016735744,7962,2899,9347674,147241,2016-01-12 16:25:26+00:00
686760001961103360,3238,1256,9348542,147245,2016-01-12 04:01:58+00:00
686749460672679938,3200,1316,9348542,147245,2016-01-12 03:20:05+00:00
686730991906516992,3800,1088,9348542,147245,2016-01-12 02:06:41+00:00
686683045143953408,2608,729,9348542,147245,2016-01-11 22:56:10+00:00
686618349602762752,3408,1237,9347674,147241,2016-01-11 18:39:05+00:00
686606069955735556,1748,490,9348542,147245,2016-01-11 17:50:18+00:00
686394059078897668,1591,631,9347674,147241,2016-01-11 03:47:50+00:00
686386521809772549,3004,791,9347674,147241,2016-01-11 03:17:53+00:00
686377065986265092,2042,514,9348542,147245,2016-01-11 02:40:19+00:00
686358356425093120,1993,599,9348542,147245,2016-01-11 01:25:58+00:00
686286779679375361,3712,1521,9347675,147241,2016-01-10 20:41:33+00:00
686050296934563840,2064,665,9348543,147245,2016-01-10 05:01:51+00:00
686035780142297088,1063,104,9348543,147245,2016-01-10 04:04:10+00:00
686034024800862208,2844,1037,9347675,147241,2016-01-10 03:57:12+00:00
686007916130873345,2277,363,9347675,147241,2016-01-10 02:13:27+00:00
686003207160610816,1676,563,9347675,147241,2016-01-10 01:54:44+00:00
685973236358713344,1935,477,9347675,147241,2016-01-09 23:55:38+00:00
685943807276412928,1497,534,9347675,147241,2016-01-09 21:58:42+00:00
685906723014619143,6884,2584,9347675,147241,2016-01-09 19:31:20+00:00
685681090388975616,1884,110,9348543,147245,2016-01-09 04:34:45+00:00
685667379192414208,2180,508,9347675,147241,2016-01-09 03:40:16+00:00
685663452032069632,2971,1330,9347675,147241,2016-01-09 03:24:40+00:00
685641971164143616,2688,695,9348543,147245,2016-01-09 01:59:19+00:00
685547936038666240,30306,14088,9348543,147245,2016-01-08 19:45:39+00:00
685532292383666176,2801,1044,9348543,147245,2016-01-08 18:43:29+00:00
685325112850124800,8672,3576,9347675,147241,2016-01-08 05:00:14+00:00
685321586178670592,2437,578,9348543,147245,2016-01-08 04:46:13+00:00
685315239903100929,3030,944,9348543,147245,2016-01-08 04:21:00+00:00
685307451701334016,1923,395,9347674,147241,2016-01-08 03:50:03+00:00
685268753634967552,2832,1071,9348543,147245,2016-01-08 01:16:17+00:00
685198997565345792,2135,588,9348543,147245,2016-01-07 20:39:06+00:00
685169283572338688,3778,1273,9348543,147245,2016-01-07 18:41:01+00:00
684969860808454144,2217,326,9348543,147245,2016-01-07 05:28:35+00:00
684959798585110529,6284,2807,9347676,147241,2016-01-07 04:48:36+00:00
684940049151070208,2961,944,9347676,147241,2016-01-07 03:30:07+00:00
684926975086034944,3215,417,9347676,147241,2016-01-07 02:38:10+00:00
684914660081053696,3216,1320,9348544,147245,2016-01-07 01:49:14+00:00
684902183876321280,1717,463,9348544,147245,2016-01-07 00:59:40+00:00
684880619965411328,1922,724,9348545,147245,2016-01-06 23:33:58+00:00
684830982659280897,32273,19634,9347677,147241,2016-01-06 20:16:44+00:00
684800227459624960,2511,901,9347677,147241,2016-01-06 18:14:31+00:00
684594889858887680,8161,3163,9347677,147241,2016-01-06 04:38:35+00:00
684588130326986752,3807,1274,9347677,147241,2016-01-06 04:11:43+00:00
684567543613382656,2754,1101,9348545,147245,2016-01-06 02:49:55+00:00
684538444857667585,2434,854,9348545,147245,2016-01-06 00:54:18+00:00
684481074559381504,3562,1069,9347677,147241,2016-01-05 21:06:19+00:00
684460069371654144,1810,503,9347676,147241,2016-01-05 19:42:51+00:00
684241637099323392,7470,2944,9348545,147245,2016-01-05 05:14:53+00:00
684225744407494656,1142,183,9347677,147241,2016-01-05 04:11:44+00:00
684222868335505415,3510,1240,9348545,147245,2016-01-05 04:00:18+00:00
684200372118904832,1977,945,9347677,147241,2016-01-05 02:30:55+00:00
684195085588783105,1757,455,9348545,147245,2016-01-05 02:09:54+00:00
684188786104872960,3214,1046,9347677,147241,2016-01-05 01:44:52+00:00
684177701129875456,1863,592,9348545,147245,2016-01-05 01:00:50+00:00
684147889187209216,2736,1368,9347677,147241,2016-01-04 23:02:22+00:00
684122891630342144,1861,425,9347677,147241,2016-01-04 21:23:02+00:00
684097758874210310,3780,1296,9348545,147245,2016-01-04 19:43:10+00:00
683857920510050305,3511,1020,9347677,147241,2016-01-04 03:50:08+00:00
683852578183077888,1789,315,9348545,147245,2016-01-04 03:28:54+00:00
683849932751646720,2408,851,9347677,147241,2016-01-04 03:18:23+00:00
683834909291606017,2403,1019,9348545,147245,2016-01-04 02:18:42+00:00
683828599284170753,2582,970,9347677,147241,2016-01-04 01:53:37+00:00
683773439333797890,3064,1218,9347677,147241,2016-01-03 22:14:26+00:00
683742671509258241,5964,2995,9347677,147241,2016-01-03 20:12:10+00:00
683515932363329536,6780,2609,9348545,147245,2016-01-03 05:11:12+00:00
683498322573824003,2927,872,9348546,147245,2016-01-03 04:01:13+00:00
683481228088049664,2438,901,9347678,147241,2016-01-03 02:53:17+00:00
683462770029932544,2240,620,9347678,147241,2016-01-03 01:39:57+00:00
683449695444799489,3569,1455,9348546,147245,2016-01-03 00:47:59+00:00
683391852557561860,7036,2172,9348546,147245,2016-01-02 20:58:09+00:00
683357973142474752,2663,822,9348546,147245,2016-01-02 18:43:31+00:00
683142553609318400,2640,933,9348546,147245,2016-01-02 04:27:31+00:00
683111407806746624,3135,816,9347678,147241,2016-01-02 02:23:45+00:00
683098815881154561,1993,588,9348546,147245,2016-01-02 01:33:43+00:00
683078886620553216,1851,517,9348546,147245,2016-01-02 00:14:32+00:00
683030066213818368,1995,667,9347678,147241,2016-01-01 21:00:32+00:00
682962037429899265,33687,14840,9348546,147245,2016-01-01 16:30:13+00:00
682808988178739200,1622,154,9347678,147241,2016-01-01 06:22:03+00:00
682788441537560576,2276,1016,9347679,147241,2016-01-01 05:00:24+00:00
682750546109968385,1398,398,9347679,147241,2016-01-01 02:29:49+00:00
682697186228989953,1208,333,9347679,147241,2015-12-31 22:57:47+00:00
682662431982772225,2809,987,9347679,147241,2015-12-31 20:39:41+00:00
682638830361513985,1904,534,9348547,147245,2015-12-31 19:05:54+00:00
682429480204398592,3173,1044,9348547,147245,2015-12-31 05:14:01+00:00
682406705142087680,6951,1584,9348547,147245,2015-12-31 03:43:31+00:00
682393905736888321,2067,595,9347678,147241,2015-12-31 02:52:40+00:00
682389078323662849,1535,423,9347679,147241,2015-12-31 02:33:29+00:00
682303737705140231,2813,883,9348547,147245,2015-12-30 20:54:22+00:00
682259524040966145,3798,1077,9348547,147245,2015-12-30 17:58:40+00:00
682242692827447297,2965,1036,9348547,147245,2015-12-30 16:51:48+00:00
682088079302213632,16732,8849,9347679,147241,2015-12-30 06:37:25+00:00
682059653698686977,4529,1526,9347680,147241,2015-12-30 04:44:28+00:00
682047327939461121,2952,847,9347679,147241,2015-12-30 03:55:29+00:00
682032003584274432,6037,1789,9348548,147245,2015-12-30 02:54:35+00:00
682003177596559360,2853,1365,9348548,147245,2015-12-30 01:00:03+00:00
681981167097122816,2590,916,9348548,147245,2015-12-29 23:32:35+00:00
681891461017812993,2269,744,9347680,147241,2015-12-29 17:36:07+00:00
681694085539872773,11785,3680,9348548,147245,2015-12-29 04:31:49+00:00
681679526984871937,1629,399,9347680,147241,2015-12-29 03:33:58+00:00
681654059175129088,2413,819,9347680,147241,2015-12-29 01:52:46+00:00
681610798867845120,1726,416,9347680,147241,2015-12-28 23:00:52+00:00
681579835668455424,3246,1174,9348548,147245,2015-12-28 20:57:50+00:00
681523177663676416,13139,5192,9348548,147245,2015-12-28 17:12:42+00:00
681340665377193984,1519,246,9347680,147241,2015-12-28 05:07:27+00:00
681339448655802368,8544,3693,9348548,147245,2015-12-28 05:02:37+00:00
681320187870711809,2401,671,9348548,147245,2015-12-28 03:46:05+00:00
681302363064414209,3586,1619,9347680,147241,2015-12-28 02:35:15+00:00
681297372102656000,2955,853,9348548,147245,2015-12-28 02:15:26+00:00
681281657291280384,2958,993,9348548,147245,2015-12-28 01:12:59+00:00
681261549936340994,1334,235,9348548,147245,2015-12-27 23:53:05+00:00
681242418453299201,1358,469,9348548,147245,2015-12-27 22:37:04+00:00
681231109724700672,2234,437,9347680,147241,2015-12-27 21:52:07+00:00
681193455364796417,3403,1329,9348548,147245,2015-12-27 19:22:30+00:00
680970795137544192,2201,583,9348548,147245,2015-12-27 04:37:44+00:00
680959110691590145,4202,1817,9348548,147245,2015-12-27 03:51:18+00:00
680940246314430465,2915,935,9348548,147245,2015-12-27 02:36:20+00:00
680934982542561280,1908,391,9348548,147245,2015-12-27 02:15:25+00:00
680913438424612864,2206,562,9347681,147241,2015-12-27 00:49:49+00:00
680889648562991104,1605,323,9347681,147241,2015-12-26 23:15:17+00:00
680836378243002368,3177,1183,9347681,147241,2015-12-26 19:43:36+00:00
680805554198020098,1970,607,9348549,147245,2015-12-26 17:41:07+00:00
680801747103793152,2181,739,9347681,147241,2015-12-26 17:25:59+00:00
680798457301471234,2598,937,9348549,147245,2015-12-26 17:12:55+00:00
680609293079592961,2408,624,9348549,147245,2015-12-26 04:41:15+00:00
680583894916304897,3294,1186,9348549,147245,2015-12-26 03:00:19+00:00
680497766108381184,3881,1729,9348549,147245,2015-12-25 21:18:05+00:00
680494726643068929,1571,438,9347681,147241,2015-12-25 21:06:00+00:00
680473011644985345,2339,669,9347681,147241,2015-12-25 19:39:43+00:00
680440374763077632,1321,440,9348548,147245,2015-12-25 17:30:01+00:00
680221482581123072,1355,260,9348549,147245,2015-12-25 03:00:14+00:00
680206703334408192,2581,1042,9347681,147241,2015-12-25 02:01:30+00:00
680191257256136705,1974,441,9348549,147245,2015-12-25 01:00:07+00:00
680176173301628928,3546,1391,9347681,147241,2015-12-25 00:00:11+00:00
680161097740095489,2130,669,9347681,147241,2015-12-24 23:00:17+00:00
680145970311643136,3309,1557,9347681,147241,2015-12-24 22:00:10+00:00
680130881361686529,2109,854,9348549,147245,2015-12-24 21:00:12+00:00
680115823365742593,2491,822,9348549,147245,2015-12-24 20:00:22+00:00
680100725817409536,3297,1245,9348549,147245,2015-12-24 19:00:23+00:00
680085611152338944,11706,8124,9348549,147245,2015-12-24 18:00:19+00:00
680070545539371008,2381,771,9348549,147245,2015-12-24 17:00:27+00:00
679877062409191424,1788,576,9347681,147241,2015-12-24 04:11:37+00:00
679872969355714560,2009,595,9347681,147241,2015-12-24 03:55:21+00:00
679862121895714818,2245,554,9348549,147245,2015-12-24 03:12:15+00:00
679854723806179328,2606,1099,9347681,147241,2015-12-24 02:42:51+00:00
679844490799091713,2186,687,9347681,147241,2015-12-24 02:02:12+00:00
679828447187857408,33034,12546,9348549,147245,2015-12-24 00:58:27+00:00
679777920601223168,2853,996,9348549,147245,2015-12-23 21:37:40+00:00
679736210798047232,1910,714,9347681,147241,2015-12-23 18:51:56+00:00
679729593985699840,1991,747,9348549,147245,2015-12-23 18:25:38+00:00
679722016581222400,1536,425,9348549,147245,2015-12-23 17:55:32+00:00
